id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,Вероятность_Нравится скорость отработки заявок,Вероятность_Нравится качество выполнения заявки,Вероятность_Нравится качество работы сотрудников,Вероятность_Понравилось выполнение заявки,Вероятность_Вопрос решен
3887422,5,"Сервис на высоте, мастер - профессионал",0.0,1.0,1.0,0.0,0.0,0.025188109507358347,0.6581275085707642,0.9552587213814517,0.08501480548820257,0.05575639161894737
3887496,5,спасибо,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3887525,5,спасибо большое,0.0,0.0,0.0,1.0,0.0,0.1676250842502003,0.49498784286336317,0.21058381111952676,0.7466197221231732,0.3412016081975945
3887606,1,ок ,0.0,0.0,0.0,1.0,1.0,0.006860429746253694,0.009919911719294147,0.02408813743589842,0.5497548347150913,0.603978123599955
3887614,2,Надолго ли(,0.0,0.0,0.0,0.0,1.0,0.0021360523468570447,0.006643354422765375,0.012482522255631772,0.04068477454767401,0.9696129410288552
3887616,2,Надолго ли(,0.0,0.0,0.0,0.0,1.0,0.0021360523468570447,0.006643354422765375,0.012482522255631772,0.04068477454767401,0.9696129410288552
3887743,5,Спасибо. Все работает,0.0,0.0,0.0,1.0,0.0,0.04089406032435297,0.03870823861255112,0.013795077910812614,0.9850407543244687,0.025623810238366365
3887791,5,Спасибо большое!,0.0,0.0,0.0,1.0,0.0,0.1676250842502003,0.49498784286336317,0.21058381111952676,0.7466197221231732,0.3412016081975945
3887832,5,Спасибо!,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3887844,5,"заявка выполнена, спасибо.",0.0,0.0,0.0,1.0,0.0,0.007621651109697334,0.02295019896698208,0.038067926035525994,0.965248104977987,0.11419908838081859
3887922,5,Дверь закрывается намного лучше.,0.0,1.0,0.0,1.0,0.0,0.010518539070696314,0.735126113662758,0.04866254417616503,0.9558578631896907,0.08433361027359287
3888009,5,Спасибо за быстрое реагирование!!!,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3888318,5,"Оперативно сработали, благодарю.",1.0,0.0,0.0,0.0,0.0,0.9908433734939759,0.0,0.4370434186141906,0.007838827838827837,0.002948905109489051
3888320,5,спасибо большое,0.0,0.0,0.0,1.0,0.0,0.1676250842502003,0.49498784286336317,0.21058381111952676,0.7466197221231732,0.3412016081975945
3888354,5,"Спасибо сантехнику Алексею, все сделано качественно ",0.0,1.0,1.0,0.0,0.0,0.1173411516318761,0.8470995927109192,0.7002274653404355,0.20414039388513583,0.09001044078370418
